0.52,16
0.57,10
0.26,15
0.25,7
0.93,9
0.58,13
0.0,5
0.59,11
0.02,7
0.34,15
0.18,8
0.64,6
0.68,6
0.5,8
0.1,10
0.92,9
1.0,6
0.77,12
0.36,11
0.03,12
0.7,11
0.74,10
0.91,10
0.62,12
0.23,17
0.29,5
0.54,6
0.21,11
0.28,8
0.07,8
0.63,16
0.98,12
0.4,10
0.65,12
0.08,5
0.31,15
0.06,4
0.81,6
0.51,7
0.9,10
0.97,9
0.14,6
0.89,8
0.49,14
0.2,9
0.56,10
0.16,11
0.83,12
0.33,14
0.09,8
0.35,9
0.42,13
0.96,15
0.67,10
0.99,9
0.88,14
0.8,8
0.76,13
0.75,10
0.6,6
0.05,14
0.12,15
0.94,17
0.95,12
0.44,10
0.37,14
0.04,6
0.79,5
0.24,9
0.53,11
0.45,13
0.87,6
0.47,14
0.17,13
0.11,11
0.69,7
0.71,6
0.86,10
0.46,9
0.78,6
0.73,8
0.13,5
0.15,10
0.3,14
0.55,13
0.19,11
0.39,16
0.61,6
0.85,8
0.72,7
0.48,7
0.27,5
0.01,7
0.82,12
0.32,7
0.43,10
0.38,12
0.41,6
0.22,5
0.66,13
0.84,11
